City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Leningradskiy,69.3833,178.4167,-8.79,91,31,6.55,RU,2021-11-03 20:30:35
1,Aras,42.5617,-2.356,45.01,85,40,11.5,ES,2021-11-03 20:30:36
2,Vysokogornyy,50.1167,139.15,26.17,83,60,2.17,RU,2021-11-03 20:30:36
3,Mataura,-46.1927,168.8643,54.48,49,30,2.33,NZ,2021-11-03 20:30:36
4,Clyde River,70.4692,-68.5914,21.56,86,97,32.21,CA,2021-11-03 20:30:37
5,Korla,41.7597,86.1469,43.7,35,96,3.67,CN,2021-11-03 20:30:37
6,Carnarvon,-24.8667,113.6333,64.47,82,0,16.11,AU,2021-11-03 20:28:22
7,Henderson,36.0397,-114.9819,80.17,26,1,11.5,US,2021-11-03 20:27:08
8,Jalingo,8.8833,11.3667,81.9,60,67,4.12,NG,2021-11-03 20:30:37
9,Ganzhou,28.8184,115.4327,62.01,87,100,1.01,CN,2021-11-03 20:30:38
10,Albany,42.6001,-73.9662,48.31,55,97,1.01,US,2021-11-03 20:28:42
11,Durgapur,23.4833,87.3167,69.98,63,87,2.68,IN,2021-11-03 20:30:38
12,Cape Town,-33.9258,18.4232,61.27,80,40,6.91,ZA,2021-11-03 20:29:59
13,Tateyama,34.9833,139.8667,59.09,65,72,8.52,JP,2021-11-03 20:30:39
14,Genc,38.7507,40.5603,54.86,81,95,3.98,TR,2021-11-03 20:30:39
15,Punta Arenas,-53.15,-70.9167,55.51,47,0,24.16,CL,2021-11-03 20:28:19
16,Tuy Hoa,13.0833,109.3,74.28,93,100,4.07,VN,2021-11-03 20:26:55
17,Avarua,-21.2078,-159.775,77.05,73,40,10.36,CK,2021-11-03 20:28:38
18,Rikitea,-23.1203,-134.9692,73.8,73,100,14.99,PF,2021-11-03 20:30:39
19,Jumla,29.2747,82.1838,38.8,58,4,4.34,NP,2021-11-03 20:30:40
20,Arraial Do Cabo,-22.9661,-42.0278,73.36,83,40,11.5,BR,2021-11-03 20:27:24
21,Nueva Gerona,21.8833,-82.8,81.75,55,72,7.07,CU,2021-11-03 20:30:40
22,Castro,-24.7911,-50.0119,70.61,68,75,2.17,BR,2021-11-03 20:30:41
23,Corpus Christi,27.8006,-97.3964,84.76,63,75,7.0,US,2021-11-03 20:29:43
24,Galle,6.0367,80.217,79.5,83,97,10.09,LK,2021-11-03 20:30:41
25,Qaanaaq,77.484,-69.3632,4.96,59,0,8.41,GL,2021-11-03 20:30:41
26,Cascais,38.6979,-9.4215,56.52,69,0,1.99,PT,2021-11-03 20:30:42
27,Hobart,-42.8794,147.3294,56.12,92,20,0.0,AU,2021-11-03 20:30:42
28,Zhob,31.3411,69.4481,55.0,34,0,4.83,PK,2021-11-03 20:30:42
29,Hilo,19.7297,-155.09,83.25,68,40,4.61,US,2021-11-03 20:30:43
30,Mawlaik,23.6333,94.4167,69.01,97,40,1.5,MM,2021-11-03 20:30:43
31,Saskylakh,71.9167,114.0833,-8.59,93,69,9.17,RU,2021-11-03 20:30:44
32,Corbelia,-24.7989,-53.3067,87.15,71,43,6.44,BR,2021-11-03 20:30:44
33,Yerbogachen,61.2767,108.0108,-5.42,98,27,4.16,RU,2021-11-03 20:27:42
34,Acapulco,16.8634,-99.8901,84.22,71,96,7.16,MX,2021-11-03 20:29:31
35,Haines Junction,60.7522,-137.5108,35.55,75,81,2.3,CA,2021-11-03 20:30:45
36,Georgetown,5.4112,100.3354,78.73,88,20,0.0,MY,2021-11-03 20:30:45
37,Hermanus,-34.4187,19.2345,63.81,78,4,11.59,ZA,2021-11-03 20:27:11
38,Khatanga,71.9667,102.5,7.02,91,100,17.74,RU,2021-11-03 20:30:46
39,Chokurdakh,70.6333,147.9167,-9.92,99,94,6.6,RU,2021-11-03 20:30:46
40,Ketchikan,55.3422,-131.6461,48.67,87,75,9.22,US,2021-11-03 20:30:47
41,Jermuk,39.8417,45.6723,42.58,81,98,3.76,AM,2021-11-03 20:30:47
42,Sal Rei,16.1833,-22.9167,79.36,71,75,15.37,CV,2021-11-03 20:30:48
43,Bathsheba,13.2167,-59.5167,84.81,65,20,12.66,BB,2021-11-03 20:30:48
44,Monduli,-3.3,36.45,65.88,75,56,3.02,TZ,2021-11-03 20:30:48
45,Port Lincoln,-34.7333,135.8667,56.64,75,6,7.49,AU,2021-11-03 20:30:46
46,Pevek,69.7008,170.3133,-14.48,98,22,7.49,RU,2021-11-03 20:27:40
47,Carbonia,39.1672,8.5222,58.15,83,100,14.58,IT,2021-11-03 20:31:49
48,Ushuaia,-54.8,-68.3,47.86,66,75,23.02,AR,2021-11-03 20:27:15
49,Knysna,-34.0363,23.0471,58.78,67,0,4.43,ZA,2021-11-03 20:31:49
50,Dikson,73.5069,80.5464,15.35,93,83,7.72,RU,2021-11-03 20:27:58
51,Puertollano,38.6871,-4.1073,47.28,71,4,4.83,ES,2021-11-03 20:31:50
52,Pindobacu,-10.7417,-40.3608,76.03,80,100,2.8,BR,2021-11-03 20:31:50
53,Mount Gambier,-37.8333,140.7667,44.51,100,75,0.0,AU,2021-11-03 20:31:51
54,Avanigadda,16.0215,80.9181,73.98,97,88,5.53,IN,2021-11-03 20:31:51
55,Lebu,-37.6167,-73.65,54.84,61,3,9.62,CL,2021-11-03 20:31:06
56,Yauya,-8.9833,-77.3,56.48,62,97,1.81,PE,2021-11-03 20:31:51
57,Nikolskoye,59.7035,30.7861,45.88,89,100,9.42,RU,2021-11-03 20:31:52
58,Port Alfred,-33.5906,26.891,63.21,88,0,1.48,ZA,2021-11-03 20:31:52
59,Komsomolets,53.7453,62.0708,17.35,67,32,7.31,KZ,2021-11-03 20:31:53
60,Tombouctou,20.0,-3.0,85.5,14,4,7.54,ML,2021-11-03 20:31:53
61,Butaritari,3.0707,172.7902,83.17,71,100,15.73,KI,2021-11-03 20:31:54
62,Bluff,-46.6,168.3333,54.81,65,29,4.63,NZ,2021-11-03 20:31:54
63,Nicoya,10.1483,-85.452,85.55,78,100,7.16,CR,2021-11-03 20:31:54
64,Hasaki,35.7333,140.8333,50.4,56,73,8.23,JP,2021-11-03 20:31:55
65,Longyearbyen,78.2186,15.6401,21.04,68,75,21.85,SJ,2021-11-03 20:31:55
66,Iqaluit,63.7506,-68.5145,20.93,79,75,10.0,CA,2021-11-03 20:29:54
67,Belmonte,-15.8631,-38.8828,86.5,90,100,9.35,BR,2021-11-03 20:31:55
68,Sosnovka,56.255,51.2842,33.3,42,94,9.89,RU,2021-11-03 20:31:56
69,Xichang,27.8964,102.2634,49.66,88,3,0.65,CN,2021-11-03 20:31:56
70,Puerto Ayora,-0.7393,-90.3518,82.36,76,83,10.04,EC,2021-11-03 20:31:15
71,Vaini,-21.2,-175.2,80.76,94,75,8.05,TO,2021-11-03 20:31:57
72,Kapaa,22.0752,-159.319,80.92,74,75,4.0,US,2021-11-03 20:31:57
73,Yellowknife,62.456,-114.3525,42.42,87,40,10.36,CA,2021-11-03 20:31:57
74,Tual,-5.6667,132.75,84.33,74,60,13.87,ID,2021-11-03 20:31:58
75,Chodavaram,17.8333,82.95,75.04,90,100,3.4,IN,2021-11-03 20:31:58
76,Ilulissat,69.2167,-51.1,35.62,60,20,14.97,GL,2021-11-03 20:31:58
77,Saravan,39.7196,45.6483,43.45,72,98,4.83,AM,2021-11-03 20:31:58
78,Codrington,-38.2667,141.9667,55.09,85,16,7.38,AU,2021-11-03 20:31:59
79,Cururupu,-1.8283,-44.8683,83.43,67,89,5.06,BR,2021-11-03 20:27:00
80,Grand Gaube,-20.0064,57.6608,73.8,77,3,1.99,MU,2021-11-03 20:28:21
81,Huarmey,-10.0681,-78.1522,68.56,74,57,9.51,PE,2021-11-03 20:32:00
82,Brae,60.3964,-1.353,42.71,82,100,28.66,GB,2021-11-03 20:32:00
83,Mar Del Plata,-38.0023,-57.5575,66.22,99,40,10.0,AR,2021-11-03 20:29:24
84,Kedrovyy,56.1667,91.8167,-5.39,91,100,9.01,RU,2021-11-03 20:32:00
85,Wasco,35.5941,-119.341,72.0,63,1,4.61,US,2021-11-03 20:32:01
86,Igarape,-20.0703,-44.3017,87.4,68,48,2.55,BR,2021-11-03 20:32:02
87,Port Blair,11.6667,92.75,80.49,81,28,4.68,IN,2021-11-03 20:32:02
88,Columbus,39.9612,-82.9988,50.83,43,75,1.01,US,2021-11-03 20:28:21
89,Ust-Karsk,52.7011,118.8077,30.25,75,100,3.02,RU,2021-11-03 20:32:03
90,Ribeira Grande,38.5167,-28.7,68.4,94,75,23.02,PT,2021-11-03 20:28:18
91,Santiago,-33.4569,-70.6483,74.28,37,0,9.22,CL,2021-11-03 20:27:37
92,East London,-33.0153,27.9116,64.2,84,0,9.08,ZA,2021-11-03 20:32:04
93,Nalut,30.3333,10.85,74.43,22,4,12.8,LY,2021-11-03 20:32:05
94,Bria,6.5423,21.9863,71.37,90,99,3.36,CF,2021-11-03 20:32:05
95,Bredasdorp,-34.5322,20.0403,59.77,70,2,6.98,ZA,2021-11-03 20:33:05
96,San Juan,-31.5375,-68.5364,94.55,14,0,7.47,AR,2021-11-03 20:30:43
97,Borisoglebskiy,57.2586,39.1508,42.44,86,100,13.94,RU,2021-11-03 20:33:06
98,Souillac,-20.5167,57.5167,73.78,83,40,6.91,MU,2021-11-03 20:33:07
99,Turayf,31.6725,38.6637,62.85,59,0,11.5,SA,2021-11-03 20:33:07
100,Severo-Kurilsk,50.6789,156.125,36.63,79,50,3.51,RU,2021-11-03 20:33:08
101,Odweyne,9.4092,45.064,69.75,47,17,3.74,SO,2021-11-03 20:33:08
102,Katsuura,35.1333,140.3,59.18,65,92,9.33,JP,2021-11-03 20:32:15
103,Chuy,-33.6971,-53.4616,65.12,97,100,14.36,UY,2021-11-03 20:28:10
104,Esperance,-33.8667,121.9,51.64,74,12,7.54,AU,2021-11-03 20:33:08
105,Bud,39.447,-86.1758,50.22,43,88,2.57,US,2021-11-03 20:33:09
106,Busselton,-33.65,115.3333,42.08,87,89,4.88,AU,2021-11-03 20:33:09
107,Half Moon Bay,37.4636,-122.4286,76.5,73,1,2.77,US,2021-11-03 20:29:59
108,Arraias,-12.9288,-46.9437,77.13,65,100,4.63,BR,2021-11-03 20:33:10
109,Coquimbo,-29.9533,-71.3436,58.73,77,90,9.22,CL,2021-11-03 20:33:10
110,Jamestown,42.097,-79.2353,43.52,66,40,8.99,US,2021-11-03 20:28:11
111,Vozhega,60.4725,40.2213,38.43,91,82,9.64,RU,2021-11-03 20:33:10
112,Olafsvik,64.8945,-23.7142,42.19,81,99,21.65,IS,2021-11-03 20:33:11
113,Jinchang,38.4953,102.1739,41.56,42,0,2.1,CN,2021-11-03 20:33:11
114,Sapa,5.1544,120.3241,81.34,80,100,4.54,PH,2021-11-03 20:33:12
115,Rafaela,-31.2503,-61.4867,84.06,41,0,3.0,AR,2021-11-03 20:33:12
116,Lagoa,39.05,-27.9833,67.6,85,100,21.59,PT,2021-11-03 20:33:13
117,Angoram,-4.0625,144.0661,74.26,100,100,1.39,PG,2021-11-03 20:33:13
118,Cayenne,4.9333,-52.3333,86.04,79,20,3.0,GF,2021-11-03 20:30:05
119,Namibe,-15.1961,12.1522,64.51,85,29,1.43,AO,2021-11-03 20:33:13
120,Filingue,14.3521,3.3168,88.0,13,17,4.76,NE,2021-11-03 20:33:14
121,Revelstoke,50.9832,-118.2023,41.02,87,90,0.0,CA,2021-11-03 20:30:44
122,San Patricio,28.017,-97.5169,84.61,59,99,6.62,US,2021-11-03 20:33:14
123,Whitehorse,60.7161,-135.0538,34.57,69,75,17.0,CA,2021-11-03 20:30:44
124,Tingo Maria,-9.2895,-76.0088,78.15,91,97,0.96,PE,2021-11-03 20:33:15
125,Klaksvik,62.2266,-6.589,38.32,66,99,17.49,FO,2021-11-03 20:33:15
126,Hithadhoo,-0.6,73.0833,82.15,76,85,15.93,MV,2021-11-03 20:33:15
127,Upernavik,72.7868,-56.1549,24.49,92,100,6.96,GL,2021-11-03 20:33:16
128,Samarai,-10.6167,150.6667,81.59,72,80,13.13,PG,2021-11-03 20:33:16
129,Radomsko,51.0671,19.4448,50.38,76,100,11.65,PL,2021-11-03 20:33:16
130,Binucayan,8.25,125.7167,72.36,99,50,1.07,PH,2021-11-03 20:33:17
131,Bethel,41.3712,-73.414,51.03,56,40,6.06,US,2021-11-03 20:33:17
132,Asau,46.4333,26.4,47.32,63,96,2.71,RO,2021-11-03 20:33:17
133,Barrow,71.2906,-156.7887,24.82,86,90,12.66,US,2021-11-03 20:33:18
134,Thompson,55.7435,-97.8558,35.76,69,1,3.44,CA,2021-11-03 20:33:18
135,Bilma,18.6853,12.9164,83.8,16,1,5.66,NE,2021-11-03 20:33:18
136,Bambous Virieux,-20.3428,57.7575,73.65,83,40,6.91,MU,2021-11-03 20:33:19
137,Lempaala,61.3167,23.75,44.1,100,90,8.05,FI,2021-11-03 20:33:19
138,Mercedes,-34.6515,-59.4307,80.85,67,83,11.36,AR,2021-11-03 20:33:19
139,Qaqortoq,60.7167,-46.0333,36.1,94,100,5.88,GL,2021-11-03 20:33:20
140,Saint-Philippe,-21.3585,55.7679,72.99,80,4,6.64,RE,2021-11-03 20:33:20
141,Lyubytino,58.8122,33.3922,44.26,90,100,10.87,RU,2021-11-03 20:34:20
142,Tigil,57.8,158.6667,30.27,89,44,15.86,RU,2021-11-03 20:34:21
143,Tapes,-30.6733,-51.3958,72.16,85,75,7.49,BR,2021-11-03 20:30:09
144,Ancud,-41.8697,-73.8203,55.42,82,84,16.91,CL,2021-11-03 20:31:44
145,Moussoro,13.6408,16.4901,89.38,14,1,11.77,TD,2021-11-03 20:34:21
146,Umba,66.6871,34.3429,37.62,91,100,9.04,RU,2021-11-03 20:34:22
147,Salalah,17.0151,54.0924,78.89,57,0,3.44,OM,2021-11-03 20:34:22
148,Tiksi,71.6872,128.8694,-10.35,98,92,9.19,RU,2021-11-03 20:34:22
149,Sitka,57.0531,-135.33,46.29,81,90,6.91,US,2021-11-03 20:34:23
150,Sao Joao Da Barra,-21.6403,-41.0511,77.09,85,33,16.84,BR,2021-11-03 20:34:23
151,Kieta,-6.2167,155.6333,80.29,84,100,3.36,PG,2021-11-03 20:34:24
152,Kruisfontein,-34.0033,24.7314,53.89,77,0,3.09,ZA,2021-11-03 20:34:24
153,Aksarka,66.5606,67.7975,25.97,88,99,15.88,RU,2021-11-03 20:34:24
154,Evensk,61.95,159.2333,11.77,86,100,3.8,RU,2021-11-03 20:34:25
155,Vardo,70.3705,31.1107,41.2,93,75,16.11,NO,2021-11-03 20:34:25
156,Kahului,20.8947,-156.47,85.26,73,40,21.85,US,2021-11-03 20:34:25
157,Los Llanos De Aridane,28.6585,-17.9182,67.75,77,75,7.0,ES,2021-11-03 20:34:26
158,Wawa,9.9022,4.4192,80.58,44,22,3.44,NG,2021-11-03 20:34:26
159,Rocha,-34.4833,-54.3333,65.01,97,100,10.0,UY,2021-11-03 20:34:27
160,Panguna,-6.3164,155.4848,72.48,91,90,2.19,PG,2021-11-03 20:34:27
161,Marystown,47.1666,-55.1483,48.85,100,42,2.86,CA,2021-11-03 20:31:33
162,Kenai,60.5544,-151.2583,39.15,97,75,0.0,US,2021-11-03 20:34:28
163,Manggar,-2.8833,108.2667,78.93,84,100,3.27,ID,2021-11-03 20:34:28
164,Mendi,-6.1761,143.6513,56.73,94,66,2.01,PG,2021-11-03 20:34:29
165,Yar-Sale,66.8333,70.8333,26.37,86,100,13.65,RU,2021-11-03 20:34:29
166,Morococha,-11.5997,-76.1411,41.29,82,100,4.5,PE,2021-11-03 20:34:30
167,Assiniboia,49.6334,-105.9845,51.71,37,3,5.75,CA,2021-11-03 20:34:30
168,Qujing,25.4833,103.7833,51.82,94,19,6.46,CN,2021-11-03 20:34:30
169,Bedford,52.1346,-0.4663,47.01,86,66,13.0,GB,2021-11-03 20:31:23
170,Along,28.1667,94.7667,56.61,72,1,1.72,IN,2021-11-03 20:29:36
171,Saa,4.3667,11.45,70.02,96,100,0.45,CM,2021-11-03 20:34:31
172,Sao Filipe,14.8961,-24.4956,79.9,73,97,6.02,CV,2021-11-03 20:34:31
173,Victoria,22.2855,114.1577,77.32,86,97,3.0,HK,2021-11-03 20:34:32
174,Hofn,64.2539,-15.2082,37.15,61,99,8.39,IS,2021-11-03 20:34:32
175,Eureka,40.8021,-124.1637,75.36,60,100,10.0,US,2021-11-03 20:34:32
176,Miles City,46.4083,-105.8406,59.5,38,1,8.05,US,2021-11-03 20:34:33
177,Kodiak,57.79,-152.4072,42.31,70,90,9.22,US,2021-11-03 20:34:33
178,Moose Factory,51.2585,-80.6094,32.0,80,75,8.05,CA,2021-11-03 20:34:33
179,Komsomolskiy,40.4272,71.7189,52.52,50,75,13.8,UZ,2021-11-03 20:34:34
180,Alyangula,-13.8483,136.4192,75.07,100,18,0.0,AU,2021-11-03 20:34:34
181,Wajima,37.4,136.9,57.76,63,27,6.22,JP,2021-11-03 20:34:35
182,New Norfolk,-42.7826,147.0587,55.76,82,6,1.01,AU,2021-11-03 20:34:35
183,Lodwar,3.1191,35.5973,86.31,38,92,17.45,KE,2021-11-03 20:34:36
184,Shingu,33.7333,135.9833,53.15,66,76,5.95,JP,2021-11-03 20:32:06
185,Waingapu,-9.6567,120.2641,81.34,79,53,8.3,ID,2021-11-03 20:34:36
186,Mizdah,31.4451,12.9801,74.05,22,0,8.97,LY,2021-11-03 20:35:36
187,Bambanglipuro,-7.95,110.2833,76.55,90,84,3.85,ID,2021-11-03 20:35:37
188,Itanagar,27.1,93.6167,61.02,70,2,4.09,IN,2021-11-03 20:35:37
189,Ust-Kuyga,70.0167,135.6,-14.24,99,100,3.94,RU,2021-11-03 20:35:37
190,Rockhampton,-23.3833,150.5,67.89,73,35,9.22,AU,2021-11-03 20:35:38
191,Tsabong,-26.0217,22.401,75.49,18,7,11.01,BW,2021-11-03 20:35:38
192,Dingle,10.9995,122.6711,75.31,93,94,6.62,PH,2021-11-03 20:35:39
193,Atuona,-9.8,-139.0333,78.03,66,61,12.44,PF,2021-11-03 20:35:39
194,Margau,46.75,22.9667,44.15,69,100,5.55,RO,2021-11-03 20:35:40
195,Shashi,30.3072,112.2447,60.75,83,100,1.32,CN,2021-11-03 20:35:40
196,Kalengwa,-13.4659,25.0027,67.03,71,84,4.72,ZM,2021-11-03 20:35:40
197,Takoradi,4.8845,-1.7554,78.84,85,100,6.91,GH,2021-11-03 20:33:18
198,Yumen,40.2833,97.2,38.55,25,0,7.92,CN,2021-11-03 20:35:41
199,Yaan,7.3833,8.5667,80.02,66,90,4.7,NG,2021-11-03 20:35:41
200,Gopalpur,19.2667,84.9167,75.81,77,93,4.76,IN,2021-11-03 20:35:41
201,Tasiilaq,65.6145,-37.6368,30.36,82,24,8.3,GL,2021-11-03 20:35:42
202,Kalevala,65.2,31.1667,38.05,98,100,5.12,RU,2021-11-03 20:35:42
203,Sungairaya,0.7,108.9,77.68,89,100,2.75,ID,2021-11-03 20:35:42
204,Naron,43.5167,-8.1528,51.04,82,85,7.2,ES,2021-11-03 20:35:43
205,Vestmannaeyjar,63.4427,-20.2734,47.61,92,100,21.59,IS,2021-11-03 20:35:43
206,Gimli,50.6336,-96.9907,44.44,52,12,11.5,CA,2021-11-03 20:35:43
207,Kaitangata,-46.2817,169.8464,52.77,48,7,5.06,NZ,2021-11-03 20:35:44
208,Torbay,47.6666,-52.7314,46.76,75,40,2.3,CA,2021-11-03 20:35:37
209,Anqing,30.5092,117.0506,63.9,64,83,3.87,CN,2021-11-03 20:35:44
210,Port Elizabeth,-33.918,25.5701,57.49,88,0,4.61,ZA,2021-11-03 20:32:08
211,Fortuna,40.5982,-124.1573,75.09,61,75,8.01,US,2021-11-03 20:35:44
212,Storslett,69.7678,21.0247,40.82,88,100,8.41,NO,2021-11-03 20:35:45
213,Kralendijk,12.15,-68.2667,84.18,74,40,14.97,BQ,2021-11-03 20:35:45
214,Manoel Urbano,-8.8389,-69.2597,85.87,57,100,1.34,BR,2021-11-03 20:35:45
215,Khorramshahr,30.4397,48.1664,73.36,49,0,2.3,IR,2021-11-03 20:35:46
216,Shaunavon,49.6501,-108.4181,51.58,48,100,14.47,CA,2021-11-03 20:31:20
217,Gayny,60.3071,54.3241,25.36,92,34,6.6,RU,2021-11-03 20:35:46
218,Verkhnevilyuysk,63.4453,120.3167,10.65,94,97,8.48,RU,2021-11-03 20:35:46
219,Tuatapere,-46.1333,167.6833,54.82,50,7,1.54,NZ,2021-11-03 20:35:47
220,Norman Wells,65.282,-126.8329,15.84,92,90,3.44,CA,2021-11-03 20:31:03
221,Tazovskiy,67.4667,78.7,22.8,95,100,15.52,RU,2021-11-03 20:35:47
